instrument_token,exchange_token,tradingsymbol,name,instrument_type,segment,exchange
50964996,199082,ICICIPHINAV,INAV ICICI PRUDENTIAL HEALT,EQ,BSE,BSE
50965252,199083,MAFSETFINAV,INAV MIRAE ASSET NIFTY FINA,EQ,BSE,BSE
50965508,199084,ICICIFMINAV,INAV ICICI PRUDENTIAL FMCG,EQ,BSE,BSE
50965764,199085,AXISTECINAV,INAV AXIS TECHNOLOGY ETF,EQ,BSE,BSE
50966020,199086,AXISHETINAV,INAV AXIS HEALTHCARE ETF,EQ,BSE,BSE
50966276,199087,AXISCETINAV,INAV AXIS CONSUMPTION ETF,EQ,BSE,BSE
50966532,199088,MASPTOPINAV,INAV MIRAE ASSET S&P 500 TO,EQ,BSE,BSE
50966788,199089,ICICICOINAV,INAV ICICI PRUDENTIAL CONSU,EQ,BSE,BSE
50967044,199090,DSPNEWEINAV,INAV DSP NIFTY 50 EQUAL WEI,EQ,BSE,BSE
50967300,199091,MAHKTECINAV,INAV MIRAE ASSET HANG SENG,EQ,BSE,BSE
50967812,199093,MONQ50INAV,INAV MOTILAL OSWAL NASDAQ Q,EQ,BSE,BSE
50968068,199094,DSPQ50EINAV,INAV DSP NIFTY MIDCAP 150 Q,EQ,BSE,BSE
50968324,199095,DSPN50INAV,INAV DSP NIFTY 50 ETF,EQ,BSE,BSE
50968580,199096,ICICIAUINAV,INAVICICI PRUDENTIALNIFTY,EQ,BSE,BSE
50968836,199097,MAMFGETINAV,INAV MIRAE ASSET NIFTY INDI,EQ,BSE,BSE
50969092,199098,MOMOMENINAV,INAV MOTILAL OSWAL NIFTY 20,EQ,BSE,BSE
50969348,199099,TECHINAV,INAV ADITYA BIRLA SUNLIFE N,EQ,BSE,BSE
50969604,199100,HEALTHYINAV,INAV ADITYA BIRLA SUNLIFE,EQ,BSE,BSE
50969860,199101,BSLNIFTINAV,INAV ADITYABIRLA SUN LIFE,EQ,BSE,BSE
50970372,199103,MAM150EINAV,INAV MIRAE ASSET NIFTY MIDC,EQ,BSE,BSE
50970628,199104,MOLOWVOINAV,INAV MOTILAL OSWAL S&P BSE,EQ,BSE,BSE
50970884,199105,ICICSENNAV,INAV ICICI PRUDENTIAL SENSE,EQ,BSE,BSE
50971396,199107,NIFTYBEINAV,INAV NIPPONINDIA ETF NIFTY,EQ,BSE,BSE
50971652,199108,JUNIORBINAV,INAV NIPPON INDIA ETF JUNIO,EQ,BSE,BSE
50971908,199109,BANKBEEINAV,INAV NIPPON INDIA ETF BANK,EQ,BSE,BSE
50972164,199110,KOTAKPSINAV,INAV KOTAK PSU BK ETF,EQ,BSE,BSE
50972420,199111,PSUBNKBINAV,INAV NIPPON INDIA ETF PSU B,EQ,BSE,BSE
50972676,199112,SHARIABINAV,INAV NIPPON INDIA ETF SHARI,EQ,BSE,BSE
50972932,199113,QNIFTYINAV,INAV QUANTUM INDX ETF,EQ,BSE,BSE
50973188,199114,MOM50INAV,INAV MOTILAL OSWAL M50 ETF,EQ,BSE,BSE
50973444,199115,KOTAKBKINAV,INAV KOTAK BANKING ETF - DI,EQ,BSE,BSE
50973700,199116,SETFNIFINAV,INAV SBI-ETF NIFTY BANK,EQ,BSE,BSE
50973956,199117,SETFN50INAV,INAV SBI-ETF NIFTY 50,EQ,BSE,BSE
50974212,199118,MOHEALTINAV,INAVMOTILALOSWS&PBSEHEALTHCETF,EQ,BSE,BSE
50974468,199119,ICMOM30INAV,INAVICICIPRUNI200MOMETF,EQ,BSE,BSE
50974724,199120,HDFF100INAV,INAVHDFC NIFTY 100 ETF,EQ,BSE,BSE
50974980,199121,HDFNX50INAV,INAV HDFC NIFTY NEXT 50 ETF,EQ,BSE,BSE
50975236,199122,ICICINFNAV,INAV ICICI PRU NIFTY INFRA ETF,EQ,BSE,BSE
50975492,199123,DSPSILINAV,INAVDSPSILVERETF,EQ,BSE,BSE
50975748,199124,NIFQTYINAV,INAV ABSL NIFTY 200 QTY 30 ETF,EQ,BSE,BSE
50976004,199125,MOM30INAV,INAV ABSL NIFTY 200 MOM 30 ETF,EQ,BSE,BSE
50976260,199126,MOQUALTINAV,INAV MO S&P BSE QUALITY ETF,EQ,BSE,BSE
50976516,199127,MOVALUEINAV,INAV MO S&P BSE EN VALUE ETF,EQ,BSE,BSE
50976772,199128,HDFCSIINAV,INAVHDFCSILVERETF,EQ,BSE,BSE
50977028,199129,HDFQUALINAV,INAVHDFCQUALETF,EQ,BSE,BSE
50977284,199130,HDFGROWINAV,INAVHDFCGROWETF,EQ,BSE,BSE
50977540,199131,HDFVALUINAV,INAV HDFCVALUEETF,EQ,BSE,BSE
50977796,199132,HDFMOMEINAV,INAVHDFCMOMENT,EQ,BSE,BSE
50978052,199133,HDFCLOLINAV,INAVHDFCLOWVOL,EQ,BSE,BSE
50978308,199134,HDFCBANINAV,INAVHDFCPVTBAN,EQ,BSE,BSE
50978564,199135,HDFCNITINAV,INAVHDFCNIFIT,EQ,BSE,BSE
50978820,199136,ICICINAV,INAVICICI PRUDENTIAL MUTUAL,EQ,BSE,BSE
50979588,199139,ICIC02INAV,INAVICICI PRUDENTIAL MUTUAL 02,EQ,BSE,BSE
50979844,199140,DSPBINAV,INAVDSP MUTUAL FUND,EQ,BSE,BSE
50980100,199141,HDFCINAV,INAVHDFC MUTUAL FUND,EQ,BSE,BSE
50980356,199142,HDFC01INAV,INAVHDFC MUTUAL FUND01,EQ,BSE,BSE
50980612,199143,HDFC02INAV,INAVHDFC MUTUAL FUND02,EQ,BSE,BSE
50980868,199144,MAGOINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50981124,199145,PSUBINAV,INAVICICI PRUDENTIAL MUTUAL,EQ,BSE,BSE
50981636,199147,AXISINAV,INAVAXIS MUTUAL FUND,EQ,BSE,BSE
50981892,199148,MANVINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50982404,199150,SILVINAV,INAVUTI MUTUAL FUND,EQ,BSE,BSE
50982660,199151,DSPGINAV,INAVDSP MUTUAL FUND,EQ,BSE,BSE
50982916,199152,MASIINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50983172,199153,DSPIINAV,INAVDSP MUTUAL FUND,EQ,BSE,BSE
50983428,199154,BANKINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50983940,199156,DSPPINAV,INAVDSP MUTUAL FUND,EQ,BSE,BSE
50984196,199157,DSPSINAV,INAVDSP MUTUAL FUND,EQ,BSE,BSE
50984452,199158,DSPP01INAV,INAVDSP MUTUAL FUND01,EQ,BSE,BSE
50984708,199159,ICIC03INAV,INAVICICI PRUDENTIAL MUTUAL 03,EQ,BSE,BSE
50985220,199161,NIFMINAV,INAVUTI MUTUAL FUND,EQ,BSE,BSE
50985476,199162,NAVIINAV,INAVNAVI MUTUAL FUND,EQ,BSE,BSE
50985732,199163,SENSINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50985988,199164,ALPHINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50986244,199165,ITETINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50986756,199167,BBNPINAV,INAVBARODA BNP PARIBAS MUTUA,EQ,BSE,BSE
50987268,199169,BANK01INAV,INAVBAJAJ FINSERV MUTUAL FUN01,EQ,BSE,BSE
50987524,199170,NIFTINAV,INAVBAJAJ FINSERV MUTUAL FUN,EQ,BSE,BSE
50987780,199171,NIFIINAV,INAVUTI MUTUAL FUND,EQ,BSE,BSE
50988548,199174,HEALINAV,INAVDSP MUTUAL FUND,EQ,BSE,BSE
50988804,199175,HDFC04INAV,INAVHDFC MUTUAL FUND04,EQ,BSE,BSE
50989060,199176,LICNINAV,INAVLIC MUTUAL FUND,EQ,BSE,BSE
50989316,199177,SMALINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50989572,199178,GOLDINAV,INAVZERODHA MUTUAL FUND,EQ,BSE,BSE
50990084,199180,MIDSINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50990596,199182,TOP1INAV,INAVZERODHA MUTUAL FUND,EQ,BSE,BSE
50990852,199183,MID1INAV,INAVZERODHA MUTUAL FUND,EQ,BSE,BSE
50991108,199184,BBNP01INAV,INAVBARODA BNP PARIBAS MUTUA01,EQ,BSE,BSE
50991364,199185,SBISINAV,INAVSBI MUTUAL FUND,EQ,BSE,BSE
50992132,199188,EVININAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50992388,199189,SBININAV,INAVSBI MUTUAL FUND,EQ,BSE,BSE
50992644,199190,OILIINAV,INAVICICI PRUDENTIAL MUTUAL,EQ,BSE,BSE
50992900,199191,ABSL01INAV,INAVADITYA BIRLA SUN LIFE MU01,EQ,BSE,BSE
50993412,199193,METAINAV,INAVICICI PRUDENTIAL MUTUAL,EQ,BSE,BSE
50993668,199194,MULTINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50993924,199195,TOP101INAV,INAVDSP MUTUAL FUND01,EQ,BSE,BSE
50994180,199196,BANK02INAV,INAVMIRAE ASSET MUTUAL FUND02,EQ,BSE,BSE
50994436,199197,META01INAV,INAVMIRAE ASSET MUTUAL FUND01,EQ,BSE,BSE
50994692,199198,VAL3INAV,INAVICICI PRUDENTIAL MUTUAL,EQ,BSE,BSE
50995204,199200,CONSINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50995460,199201,ECAPINAV,INAVEDELWEISS MUTUAL FUND,EQ,BSE,BSE
50995716,199202,NEXTINAV,INAVDSP MUTUAL FUND,EQ,BSE,BSE
50995972,199203,UNIOINAV,INAVUNION MUTUAL FUND,EQ,BSE,BSE
50996228,199204,GOLD01INAV,INAV360 ONE MUTUAL FUND01,EQ,BSE,BSE
50996484,199205,SELEINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50996740,199206,EQUAINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50997252,199208,AXIS01INAV,INAVAXIS MUTUAL FUND01,EQ,BSE,BSE
50997508,199209,SILV01INAV,INAVZERODHA MUTUAL FUND01,EQ,BSE,BSE
50997764,199210,SBIBINAV,INAVSBI MUTUAL FUND,EQ,BSE,BSE
50998020,199211,SILV02INAV,INAV360 ONE MUTUAL FUND02,EQ,BSE,BSE
50998276,199212,EVIEINAV,INAVICICI PRUDENTIAL MUTUAL,EQ,BSE,BSE
50998532,199213,EQUA01INAV,INAVMIRAE ASSET MUTUAL FUND01,EQ,BSE,BSE
50998788,199214,SNXTINAV,INAVNIPPON INDIA MUTUAL FUND,EQ,BSE,BSE
50999044,199215,TOP102INAV,INAVICICI PRUDENTIAL MUTUAL 02,EQ,BSE,BSE
50999300,199216,INTEINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
50999556,199217,GROWINAV,INAVGROWW MUTUAL FUND,EQ,BSE,BSE
51000324,199220,MANUINAV,INAVNIPPON INDIA MUTUAL FUND,EQ,BSE,BSE
51000580,199221,LIQU07INAV,INAVKOTAK MAHINDRA MUTUAL FU07,EQ,BSE,BSE
51000836,199222,TATAINAV,INAVTATA MUTUAL FUND - PERMI,EQ,BSE,BSE
51001092,199223,SML1INAV,INAVZERODHA MUTUAL FUND,EQ,BSE,BSE
51001348,199224,ITBEINAV,INAVNIPPON INDIA MUTUAL FUND,EQ,BSE,BSE
51001604,199225,SILV03INAV,INAVNIPPON INDIA MUTUAL FUND03,EQ,BSE,BSE
51001860,199226,PHARINAV,INAVNIPPON INDIA MUTUAL FUND,EQ,BSE,BSE
51002372,199228,MID101INAV,INAVNIPPON INDIA MUTUAL FUND01,EQ,BSE,BSE
51002884,199230,FLEXINAV,INAVDSP MUTUAL FUND,EQ,BSE,BSE
51003140,199231,NIFT01INAV,INAVZERODHA MUTUAL FUND01,EQ,BSE,BSE
51003396,199232,CHOIINAV,INAVCHOICE MUTUAL FUND,EQ,BSE,BSE
51003652,199233,ENERINAV,INAVMIRAE ASSET MUTUAL FUND,EQ,BSE,BSE
51003908,199234,SMAL01INAV,INAVMIRAE ASSET MUTUAL FUND01,EQ,BSE,BSE
128000516,500002,ABB,ABB INDIA,EQ,BSE,BSE
128000772,500003,AEGISLOG,AEGIS LOGISTICS,EQ,BSE,BSE
128002052,500008,ARE&M,AMARA RAJA ENERGY & MOBILITY L,EQ,BSE,BSE
128002308,500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES L,EQ,BSE,BSE
128003076,500012,ANDHRAPET,ANDHRA PETROCHEMICALS,EQ,BSE,BSE
128003332,500013,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCT,EQ,BSE,BSE
128003588,500014,UTIQUE,UTIQUE ENTERPRISES,EQ,BSE,BSE
128004100,500016,ARUNAHTEL,ARUNA HOTELS,EQ,BSE,BSE
128005124,500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,EQ,BSE,BSE
128005892,500023,ASIANHOTNR,ASIAN HOTELS (NORTH),EQ,BSE,BSE
128006916,500027,ATUL,ATUL,EQ,BSE,BSE
128007172,500028,ATVPR,ATV PROJECTS INDIA,EQ,BSE,BSE
128007940,500031,BAJAJELEC,BAJAJ ELECTRICALS,EQ,BSE,BSE
128008196,500032,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR,EQ,BSE,BSE
128008452,500033,FORCEMOT,FORCE MOTORS,EQ,BSE,BSE
128008708,500034,BAJFINANCE,BAJAJ FINANCE,EQ,BSE,BSE
128009732,500038,BALRAMCHIN,BALRAMPUR CHINI MILLS,EQ,BSE,BSE
128009988,500039,BANCOINDIA,BANCO PRODUCTS (INDIA),EQ,BSE,BSE
128010244,500040,ABREL,ADITYA BIRLA REAL ESTATE LIMIT,EQ,BSE,BSE
128010500,500041,BANARISUG,BANNARI AMMAN SUGARS,EQ,BSE,BSE
128010756,500042,BASF,BASF INDIA,EQ,BSE,BSE
128011012,500043,BATAINDIA,BATA INDIA,EQ,BSE,BSE
128012292,500048,BEML,BEML,EQ,BSE,BSE
128012548,500049,BEL,BHARAT ELECTRONICS,EQ,BSE,BSE
128013316,500052,BEPL,BHANSALI ENGINEERING POLYMERS,EQ,BSE,BSE
128014852,500058,BIHSPONG,BIHAR SPONGE IRON,EQ,BSE,BSE
128015108,500059,BILVYAPAR,BIL VYAPAR,EQ,BSE,BSE
128015364,500060,BIRLACABLE,BIRLA CABLE ,EQ,BSE,BSE
128017156,500067,BLUESTARCO,BLUE STAR,EQ,BSE,BSE
128017412,500068,DISAQ,DISA INDIA,EQ,BSE,BSE
128017668,500069,QUESTCAP,QUEST CAPITAL MARKETS,EQ,BSE,BSE
128018948,500074,BPL,BPL,EQ,BSE,BSE
128019972,500078,OAL,ORIENTAL AROMATICS,EQ,BSE,BSE
128021252,500083,CENTEXT,CENTURY EXTRUSIONS,EQ,BSE,BSE
128021508,500084,CESC,CESC,EQ,BSE,BSE
128021764,500085,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICAL,EQ,BSE,BSE
128022020,500086,EXIDEIND,EXIDE INDUSTRIES,EQ,BSE,BSE
128022276,500087,CIPLA,CIPLA,EQ,BSE,BSE
128022788,500089,DICIND,DIC INDIA,EQ,BSE,BSE
128023556,500092,CRISIL,CRISIL,EQ,BSE,BSE
128023812,500093,CGPOWER,CG POWER AND INDUSTRIAL SOLUTI,EQ,BSE,BSE
128024580,500096,DABUR,DABUR INDIA,EQ,BSE,BSE
128024836,500097,DALMIASUG,DALMIA BHARAT SUGAR AND INDUST,EQ,BSE,BSE
128025860,500101,ARVIND,ARVIND,EQ,BSE,BSE
128026372,500103,BHEL,BHARAT HEAVY ELECTRICALS,EQ,BSE,BSE
128026628,500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATIO,EQ,BSE,BSE
128027140,500106,IFCI,IFCI,EQ,BSE,BSE
128027652,500108,MTNL,MAHANAGAR TELEPHONE NIGAM,EQ,BSE,BSE
128027908,500109,MRPL,MANGALORE REFINERY & PETROCHEM,EQ,BSE,BSE
128028164,500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION,EQ,BSE,BSE
128028676,500112,SBIN,STATE BANK OF INDIA,EQ,BSE,BSE
128028932,500113,SAIL,STEEL AUTHORITY OF INDIA,EQ,BSE,BSE
128029188,500114,TITAN,TITAN COMPANY,EQ,BSE,BSE
128029700,500116,IDBI,IDBI BANK,EQ,BSE,BSE
128029956,500117,DCW,DCW,EQ,BSE,BSE
128030468,500119,DHAMPURSUG,DHAMPUR SUGAR MILLS,EQ,BSE,BSE
128030724,500120,DIAMINESQ,DIAMINES & CHEMICALS,EQ,BSE,BSE
128031492,500123,ELANTAS,ELANTAS BECK INDIA,EQ,BSE,BSE
128031748,500124,DRREDDY,DR.REDDYS LABORATORIES,EQ,BSE,BSE
128032004,500125,EIDPARRY,E.I.D.-PARRY (INDIA),EQ,BSE,BSE
128032260,500126,PGHL,PROCTER & GAMBLE HEALTH LIMITE,EQ,BSE,BSE
128032772,500128,ELECTCAST,ELECTROSTEEL CASTINGS,EQ,BSE,BSE
128034052,500133,ESABINDIA,ESAB INDIA,EQ,BSE,BSE
128034564,500135,EPL,EPL,EQ,BSE,BSE
128034820,500136,ESTER,ESTER INDUSTRIES,EQ,BSE,BSE
128036356,500142,FGP,FGP,EQ,BSE,BSE
128036612,500143,PHCAP,PH CAPITAL,EQ,BSE,BSE
128036868,500144,FINCABLES,FINOLEX CABLES,EQ,BSE,BSE
128037636,500147,COCKERILL,JOHN COCKERILL INDIA,EQ,BSE,BSE
128037892,500148,UFLEX,UFLEX,EQ,BSE,BSE
128038404,500150,FOSECOIND,FOSECO INDIA,EQ,BSE,BSE
128038660,500151,GOLDENTOBC,GOLDEN TOBACCO,EQ,BSE,BSE
128039172,500153,GANESHBE,GANESH BENZOPLAST,EQ,BSE,BSE
128040708,500159,METROGLOBL,METROGLOBAL,EQ,BSE,BSE
128040964,500160,GTL,GTL,EQ,BSE,BSE
128041732,500163,GODFRYPHLP,GODFREY PHILLIPS INDIA,EQ,BSE,BSE
128041988,500164,GODREJIND,GODREJ INDUSTRIES,EQ,BSE,BSE
128042244,500165,KANSAINER,KANSAI NEROLAC PAINTS,EQ,BSE,BSE
128042500,500166,GOODRICKE,GOODRICKE GROUP,EQ,BSE,BSE
128043012,500168,GOODYEAR,GOODYEAR INDIA,EQ,BSE,BSE
128043524,500170,GTNINDS,GTN INDUSTRIES,EQ,BSE,BSE
128043780,500171,GHCL,GHCL,EQ,BSE,BSE
128044292,500173,GFLLIMITED,GFL,EQ,BSE,BSE
128045828,500179,HCL-INSYS,HCL INFOSYSTEMS,EQ,BSE,BSE
128046084,500180,HDFCBANK,HDFC BANK,EQ,BSE,BSE
128046596,500182,HEROMOTOCO,HERO MOTOCORP,EQ,BSE,BSE
128046852,500183,HFCL,HFCL,EQ,BSE,BSE
128047108,500184,HSCL,HIMADRI SPECIALITY CHEMICAL LT,EQ,BSE,BSE
128047364,500185,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,EQ,BSE,BSE
128047620,500186,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.L,EQ,BSE,BSE
128047876,500187,AGI,AGI GREENPAC,EQ,BSE,BSE
128048132,500188,HINDZINC,HINDUSTAN ZINC,EQ,BSE,BSE
128048388,500189,NDLVENTURE,NDL VENTURES ,EQ,BSE,BSE
128048900,500191,HMT,HMT,EQ,BSE,BSE
128049156,500192,PRAGBOS,PRAG BOSIMI SYNTHETICS,EQ,BSE,BSE
128049412,500193,HLVLTD,HLV,EQ,BSE,BSE
128050948,500199,IGPL,I G PETROCHEMICALS,EQ,BSE,BSE
128051460,500201,INDIAGLYCO,INDIA GLYCOLS,EQ,BSE,BSE
128051716,500202,INDLEASE,INDIA LEASE DEVELOPMENT,EQ,BSE,BSE
128052740,500206,MARGOFIN,MARGO FINANCE,EQ,BSE,BSE
128052996,500207,INDORAMA,INDO RAMA SYNTHETICS (INDIA) L,EQ,BSE,BSE
128053508,500209,INFY,INFOSYS,EQ,BSE,BSE
128053764,500210,INGERRAND,INGERSOLL-RAND (INDIA),EQ,BSE,BSE
128054532,500213,ITHL,INTERNATIONAL TRAVEL HOUSE,EQ,BSE,BSE
128054788,500214,IONEXCHANG,ION EXCHANGE (INDIA),EQ,BSE,BSE
128055044,500215,SUNDROP,SUNDROP BRANDS,EQ,BSE,BSE
128056068,500219,JISLJALEQS,JAIN IRRIGATION SYSTEMS,EQ,BSE,BSE
128056324,500220,JASCH,JASCH INDUSTRIES,EQ,BSE,BSE
128058116,500227,JINDALPOLY,JINDAL POLY FILMS,EQ,BSE,BSE
128058372,500228,JSWSTEEL,JSW STEEL,EQ,BSE,BSE
128059652,500233,KAJARIACER,KAJARIA CERAMICS,EQ,BSE,BSE
128059908,500234,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUST,EQ,BSE,BSE
128060164,500235,KSL,KALYANI STEELS,EQ,BSE,BSE
128060932,500238,WHIRLPOOL,WHIRLPOOL OF INDIA,EQ,BSE,BSE
128061188,500239,KGDENIM,KG DENIM,EQ,BSE,BSE
128061444,500240,KINETICENG,KINETIC ENGINEERING,EQ,BSE,BSE
128061700,500241,KIRLOSBROS,KIRLOSKAR BROTHERS,EQ,BSE,BSE
128062212,500243,KIRLOSIND,KIRLOSKAR INDUSTRIES,EQ,BSE,BSE
128062724,500245,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES L,EQ,BSE,BSE
128062980,500246,ENVAIREL,ENVAIR ELECTRODYNE,EQ,BSE,BSE
128063236,500247,KOTAKBANK,KOTAK MAHINDRA BANK,EQ,BSE,BSE
128063492,500248,KRIFILIND,KRISHNA FILAMENT INDUSTRIES LI,EQ,BSE,BSE
128063748,500249,KSB,KSB,EQ,BSE,BSE
128064004,500250,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,EQ,BSE,BSE
128064260,500251,TRENT,TRENT,EQ,BSE,BSE
128064516,500252,LMW,LMW ,EQ,BSE,BSE
